"V1","V2","V3","V4"
0,14,0,0
0,72,0,0
5,23,0,0
7,67,5,0
0,58,12,2
0,45,1,0
0,92,9,0
0,71,9,0
9,30,0,0
3,96,46,0
6,12,8,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,8,0
25,0,0,0
30,5,0,0
10,25,1,2
0,0,0,1
0,2,5,0
0,10,27,18
0,21,0,0
17,49,0,0
0,20,7,0
17,14,5,0
0,17,29,0
0,0,10,0
0,0,0,0
0,0,0,0
0,0,0,0
0,68,25,0
0,33,0,0
30,56,0,0
23,64,36,0
0,84,17,0
0,14,35,2
0,16,10,31
0,9,0,0
3,0,2,0
0,17,0,2
4,0,0,0
0,60,7,0
0,36,3,0
0,4,0,0
0,0,0,0
0,0,0,0
0,57,0,0
0,42,0,0
0,95,0,0
0,67,2,0
0,40,0,0
0,80,10,0
0,33,10,1
0,21,20,0
0,72,3,0
0,34,40,0
0,4,0,0
0,65,35,10
0,30,6,0
2,109,8,0
0,4,0,0
0,0,0,0
0,0,0,0
0,92,0,0
28,30,2,0
0,98,0,0
18,38,0,0
16,30,0,0
4,107,30,0
2,35,18,0
21,30,13,0
0,89,0,0
0,74,15,0
0,7,3,5
0,32,36,0
0,79,31,0
8,74,21,0
0,10,0,0
0,0,0,0
0,0,0,0
13,19,0,0
5,88,0,0
39,99,0,0
32,74,0,0
13,55,0,0
7,145,0,0
25,96,7,0
28,142,15,0
0,194,0,0
9,50,5,0
0,47,17,0
0,53,7,6
0,60,19,0
0,87,4,0
1,58,6,0
0,10,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,42,0,0
13,19,0,0
27,61,0,0
40,86,0,0
4,108,0,0
6,74,0,0
0,98,0,0
0,79,0,0
0,119,0,2
0,107,17,0
0,58,17,0
0,37,5,0
0,52,2,0
29,130,2,0
38,34,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,97,0,0
5,17,0,0
0,14,0,0
0,12,0,0
0,87,0,0
0,82,0,5
51,165,4,15
12,46,36,4
0,77,16,0
0,9,39,0
0,34,2,0
20,30,0,0
9,12,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
7,17,0,0
6,0,0,0
0,0,0,0
0,13,0,0
0,32,0,2
0,114,0,30
8,87,11,8
9,107,4,0
25,41,6,13
8,24,7,0
11,84,0,0
5,43,9,0
12,36,7,0
30,62,0,0
3,7,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,24,0,0
0,37,0,0
19,90,18,11
19,112,9,0
0,82,0,2
20,41,0,2
11,19,0,0
0,18,0,0
0,64,13,0
17,58,3,0
9,69,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,2,0,0
0,5,0,0
10,77,0,0
13,86,0,0
0,107,0,0
0,105,6,0
3,44,7,0
0,0,0,1
3,49,0,0
24,38,0,0
0,19,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,29,0,0
17,95,0,0
6,84,0,0
0,80,0,0
0,34,7,0
0,33,4,0
0,21,1,23
0,12,18,16
15,5,0,0
12,51,0,0
0,3,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,11,0,0
60,84,0,0
15,122,2,0
0,28,19,0
0,37,1,0
0,61,0,0
0,14,0,0
0,0,0,0
0,5,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
3,54,1,0
10,118,79,0
0,12,9,0
0,33,1,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
9,12,24,0
44,0,5,0
0,0,2,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
12,0,0,0
28,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
