"x","y","z","vx","vy","vz","acceptance","left=0"
29.7632954855476,-402.127098222562,12.4587334756461,0.534280324390725,-0.837062758817914,0.117772971301079,7.82478799563443,1
16.6429323566573,-407.43127322541,20.9947066904977,0.469903594376502,-0.870808470336063,0.144510276392407,8.47863530012572,1
2.81778259234483,-412.122844357381,29.2026768712756,0.395009978216876,-0.903223388836134,0.167793405616767,8.95412073338423,1
-11.2560129779319,-415.670168342347,37.6684897727878,0.316355509103866,-0.927481692514492,0.199240813866252,9.15207690197019,1
-25.5885840579614,-418.360128671723,46.0029120655417,0.237767956541029,-0.941915685950608,0.237194518070083,9.29565497292275,1
-40.406255502597,-420.199877621605,53.6854754486345,0.154717221093615,-0.951823309084763,0.264754546287691,9.68267231103138,1
-55.4841320059442,-421.039194433073,61.0371517622621,0.0631193925514577,-0.953256525131829,0.295496090629851,10.1546070697591,1
-70.602142006015,-420.804810755993,68.6335212386202,-0.0231454987090667,-0.940118727877472,0.340060381967014,10.4381494714259,1
-85.7934803533771,-419.575861376894,75.5248397733074,-0.116271933092525,-0.920135966314823,0.373939354800768,10.4838929774152,1
-101.178133665563,-417.505087726538,81.8011121671074,-0.21304730698725,-0.893078947411814,0.396258550286663,10.0845422986295,1
-116.596303147332,-414.124362238631,87.8393499090051,-0.299989723830552,-0.853004849629876,0.427070125511002,10.1596068870221,1
-131.823691290747,-409.357626660278,92.7830215412274,-0.387855051136697,-0.800723041116496,0.456520613699864,10.9452534670662,1
-147.258219598264,-403.128763780746,96.7601896387623,-0.484533856141556,-0.735104852479507,0.474181187009434,11.68308516071,1
-162.686788558298,-395.156406715001,99.3945474000627,-0.585357728372717,-0.656342116631905,0.475995121581601,12.1974593713004,1
-177.287825903695,-385.307163069888,100.304963613964,-0.67752707514851,-0.568220435159819,0.466993147174016,12.3289743692418,1
39.9018688041008,-393.570001303491,21.4860340226908,0.581307523057829,-0.800255993470544,0.147213819157184,7.90529198480198,1
27.0643228717604,-399.158950746991,30.1643236393787,0.520597486973529,-0.834382349797663,0.181064493766659,8.29764167598242,1
13.536480132379,-404.082148364024,38.5237202421865,0.451175696475773,-0.867048117944712,0.211348177371213,8.8213048537612,1
-0.420139963949404,-408.241990775776,46.9158322060614,0.375446314402899,-0.895510667086306,0.238957548815516,9.21279502302058,1
-14.6130728946059,-411.289826340856,55.091092622383,0.301006395314536,-0.913502702051104,0.273693191959684,9.46443719804509,1
-29.1723319431867,-413.382397775016,63.2025557995328,0.219525558039977,-0.924622035862462,0.311259731036304,9.77130429461292,1
-44.0599689459353,-414.784380499876,70.4839872372131,0.1308478580161,-0.931807216140086,0.338547116369141,10.0497103280861,1
-59.2215634636183,-415.027226574067,77.7700305050189,0.0441427386944208,-0.924819012098444,0.377837549062839,9.9854380112938,1
-74.3502406329528,-414.158415065029,84.7195278200559,-0.0443759406397136,-0.907355101413269,0.418016143027583,10.1971783253319,1
-89.6901231440439,-412.528473798398,91.1931653825887,-0.139118941408453,-0.884812007781453,0.444694986510019,10.3780460516159,1
-105.154231904711,-410.028590161428,96.8517264149139,-0.233054665440515,-0.854510568863553,0.464216771149962,10.4274958763992,1
-120.744909415984,-405.780665740399,102.350752975101,-0.324632729076007,-0.803829600038413,0.498469222033566,10.7733132887196,1
-136.135217995945,-400.351394053484,106.635601764978,-0.418068208479385,-0.740950775483863,0.525557724107162,11.0609448192653,1
-151.493891639158,-393.380377186485,109.625753278496,-0.513244997584222,-0.670262422117266,0.536029717415246,11.6765673876568,1
-166.800532042965,-384.39706342121,110.973636264721,-0.617224638740758,-0.581568300300258,0.529917028804708,12.1206327023218,1
-181.06646775968,-373.527363750325,109.639606762742,-0.716016084756345,-0.476166891369738,0.510476304967699,14.1779956667235,1
49.5123242781244,-384.350305823422,30.4885002223983,0.623045763675687,-0.760183761258455,0.184213532306203,8.35023721153586,1
36.6303468941647,-390.21300677429,39.059723465651,0.562531377831759,-0.797855436958217,0.216760583757553,8.42039181301589,1
23.4640219670288,-395.486675498654,47.5015040317707,0.499295929800815,-0.829918628956581,0.24887475523879,8.6176212480436,1
9.94735422642673,-399.856693855213,55.9418356576548,0.430754916532386,-0.857636817923498,0.280907975011808,9.03315521519274,1
-3.95368646236793,-403.361204614708,64.2431548889611,0.359394846673308,-0.877798501605011,0.316709858963478,9.41628567111438,1
-18.335141972357,-405.894457441201,72.1952316134815,0.282099586645692,-0.892029852299944,0.353132504621238,9.81098232928433,1
-33.0899962494484,-407.393568545938,79.6092165226812,0.192549241923624,-0.901805008634198,0.386875323375517,10.1148253851693,1
-48.1027406906535,-408.183423224441,86.8791672236008,0.100938774786447,-0.902496859378402,0.418701304699104,9.90479224083241,1
-63.3216684954309,-407.957108626569,93.6079676461985,0.0166661697520226,-0.891144634487118,0.45341314406468,9.7278332837015,1
-78.5718767349478,-406.744885078647,100.150980760741,-0.0718611285833464,-0.867231203554739,0.492692619976924,10.1720298666212,1
-93.8375083216108,-404.783399638602,106.10175079818,-0.166897807325874,-0.841573030757253,0.513711938552986,10.5908244860106,1
-109.372652889221,-401.525193888588,111.308465685907,-0.260600991408404,-0.802039067655863,0.537420186847006,10.9036070259906,1
-125.009514779665,-396.686802559373,115.929870882937,-0.35604946270328,-0.742878960299238,0.566885906028214,10.8153963219458,1
-140.452546074412,-390.568286637516,119.342389644034,-0.44777706587384,-0.6787671854435,0.582040211018556,10.760418691921,1
-155.797398474964,-382.708083332487,121.184853388356,-0.541795918537332,-0.604807771086636,0.583664923298894,11.2658713382343,1
